icpsr,party_code
14854,200
14863,200
14873,100
15029,100
15433,100
15448,100
15454,100
15616,100
20104,100
20107,200
20119,100
20122,100
20124,200
20138,200
20145,100
20301,200
20305,100
20310,100
20316,200
20321,100
20322,100
20329,100
20342,200
20344,200
20355,200
20356,200
20501,100
20504,100
20517,100
20519,100
20521,200
20522,200
20529,100
20530,200
20533,100
20535,200
20537,100
20538,100
20703,200
20704,200
20706,100
20708,100
20709,200
20712,100
20724,100
20725,200
20729,200
20733,100
20738,200
20748,100
20749,100
20755,200
20756,200
20757,100
20758,200
20759,200
20903,200
20907,100
20909,200
20916,200
20920,100
20926,200
20927,100
20934,100
20946,200
20952,100
20954,100
20955,100
20958,100
21102,100
21103,200
21105,200
21106,200
21108,200
21116,200
21118,100
21123,200
21132,200
21139,200
21140,100
21142,200
21162,200
21167,200
21172,100
21174,200
21178,200
21179,200
21191,200
21196,200
21198,100
21302,200
21303,100
21304,100
21306,100
21307,200
21308,100
21309,100
21311,100
21312,100
21314,100
21315,100
21321,100
21326,100
21333,200
21337,200
21339,100
21340,100
21342,100
21343,100
21346,200
21351,200
21352,100
21353,200
21356,200
21358,100
21360,200
21362,100
21364,200
21365,100
21367,200
21368,100
21370,100
21371,100
21372,100
21373,200
21375,100
21500,200
21502,100
21503,200
21504,100
21506,100
21507,100
21508,100
21510,200
21513,200
21515,200
21516,200
21519,200
21523,200
21525,100
21526,200
21529,100
21531,200
21532,200
21536,100
21538,100
21541,200
21544,200
21545,100
21548,100
21551,200
21554,100
21556,200
21557,200
21559,200
21561,200
21562,200
21563,200
21564,200
21565,200
21566,100
21700,200
21701,200
21702,200
21703,100
21704,200
21705,200
21706,100
21709,100
21711,100
21714,200
21715,100
21717,200
21718,200
21719,200
21720,200
21722,100
21723,100
21724,200
21726,100
21727,200
21728,100
21730,100
21731,200
21735,200
21740,100
21741,100
21744,200
21745,200
21746,100
21749,200
21750,200
21753,200
21754,100
21755,200
21757,200
21758,200
21759,200
21760,200
21761,100
21762,100
21763,100
21900,100
21901,200
21903,200
21905,200
21906,100
21908,200
21910,100
21911,200
21912,100
21914,100
21915,100
21917,100
21919,100
21920,200
21921,100
21922,100
21923,100
21925,200
21926,200
21927,200
21930,100
21931,100
21934,100
21935,200
21936,200
21937,100
21938,100
21939,100
21944,100
21945,200
21946,200
21948,100
21949,100
21950,100
21951,100
21952,200
21953,100
21954,100
21955,100
21956,200
21959,200
21961,200
21962,100
21964,100
21965,100
21966,100
21968,100
21969,200
21970,200
21971,200
21972,100
21974,200
21975,100
21977,100
21978,100
21979,100
21981,200
21983,100
21986,200
21987,200
21988,200
21989,200
22100,100
22101,200
22102,200
22103,200
22105,100
22106,100
22107,200
22108,200
22110,200
22111,200
22112,200
22113,200
22114,200
22115,200
22116,200
22117,200
22118,200
22119,200
22120,200
22121,200
22122,200
22124,200
22125,200
22126,100
22129,200
22130,200
22131,100
22132,200
22133,200
22134,200
22135,100
22136,200
22138,200
22139,200
22140,200
22141,200
22142,100
22143,200
22145,200
22146,200
22147,200
22148,200
22149,100
22150,200
22151,200
22152,200
22153,100
22154,100
22155,200
22156,100
22157,200
22158,100
22159,100
22160,200
22161,100
22162,200
22163,100
22166,200
22167,200
22168,100
22169,100
22171,200
22300,200
22301,100
22302,200
22303,200
22304,100
22305,200
22306,100
22307,100
22308,200
22309,200
22310,200
22311,200
22312,100
22313,200
22314,100
22315,200
22316,100
22317,200
22318,200
22319,200
22320,100
22321,100
22322,200
22323,100
22324,100
22325,200
22326,200
22327,100
22328,200
22329,100
22330,100
22331,100
22332,200
22333,100
22334,200
22335,200
22336,200
22337,200
22338,100
22339,200
22340,200
22341,200
22342,100
22343,200
22344,200
22345,100
22346,200
22347,100
22348,100
22349,200
22350,200
22351,200
22352,200
22353,100
22354,100
22355,100
22356,200
22357,200
22358,100
22359,100
22360,100
22361,100
22362,200
22363,100
22364,200
22365,100
22366,200
22367,100
22368,100
22369,100
22370,200
22371,100
22372,200
29106,100
29109,100
29312,100
29323,200
29339,100
29368,100
29377,100
29378,100
29393,200
29504,100
29571,100
29573,100
29588,100
29701,200
29707,100
29710,100
29717,100
29729,100
29741,100
29759,200
29762,200
29768,100
29776,100
29778,100
29901,100
29903,100
29908,100
29910,200
29911,100
31101,100
31102,200
31103,100
39301,100
39307,100
91980,200
21992,200
21993,100
21994,100
21995,200
21996,100
22373,200
22374,100
22375,100
22376,200
21747,100
22377,100
22378,200
22379,200
22380,200
22381,100
22382,100
22383,200
